Ref,Type,Rarity,Element,Name,Quantity,Sell
0,Construct,Legendary,water,sygzctvqom,2,50
1,Food,Epic,gravity,hgowizmqbe,16,
2,Meal,Epic,wave,khjnedyjln,23,150
3,Material/Food,Common,time,eetlsixcoa,51,
4,Armor,Epic,energy,kdqtsoadwb,14,
5,Material/Food,Legendary,energy,ajvstgckzu,30,100
6,Food,Rare,gravity,dpdhwzjmdj,22,500
7,Material,Rare,air,cfyscaaqqq,91,200
8,Armor,Epic,water,tvahaynvkb,2,
9,Food,Legendary,wave,epaucaljuo,49,
10,Meal,Legendary,time,vgpexmfakv,14,
11,Potion,Legendary,fire,llayrstnng,88,300
12,Food,Common,gravity,zfbawueeut,35,
13,Material,Epic,space,nuxrybtfye,18,450
14,Construct,Rare,energy,gpzzykpstk,79,200
15,Meal,Common,fire,brimomlgjc,5,400
16,Tool,Common,plant,uimrmvefim,67,
17,Material/Food,Epic,time,ojmweyvgll,100,
18,Construct,Common,wave,hrofkclrub,85,
19,Construct,Common,fire,mjcxufebcg,6,
20,Armor,Legendary,life,zjjxecyfvl,98,350
21,Food,Rare,time,xfncbslquu,87,250
22,Food,Epic,energy,snajlfdgmv,73,150
23,Material,Epic,space,fiuqrwjgjm,2,
24,Food,Rare,wave,aujnmktoja,77,150
25,Meal,Epic,energy,hthobokjhx,89,
26,Material,Common,bacteria,etjeotixoh,81,
27,Food,Legendary,water,xqlccpikgb,6,
28,Armor,Common,gravity,hogxuhwnco,66,
29,Food,Legendary,water,qylsgwipul,20,500
30,Tool,Epic,air,yoxgwxqiui,76,150
31,Food,Legendary,earth,tqmccjsqhp,66,150
32,Potion,Common,fire,svkznpxqpj,2,
33,Material,Rare,time,cxdexjnomf,87,50
34,Material/Food,Rare,fire,giayirovps,54,
35,Construct,Common,plant,kfsikvaoxv,72,
36,Potion,Legendary,fire,hpwcpwyhnr,52,
37,Potion,Epic,earth,kftdvdpqwd,86,300
38,Tool,Epic,time,imubywzaxd,55,50
39,Material/Food,Epic,fire,gjficrgbld,90,50
40,Potion,Epic,air,zsxzunxbal,83,150
41,Construct,Rare,energy,vzddxiyblu,79,
42,Material,Common,fire,mzxqlaeuvs,39,
43,Material/Food,Epic,fire,drrywswhuf,38,
44,Food,Epic,time,cyrtzfpzxe,65,200
45,Material/Food,Epic,gravity,wtbhyvglks,85,
46,Potion,Common,time,dedfryaeyx,25,250
47,Construct,Common,plant,wntpfmaqlk,19,
48,Food,Legendary,plant,zqzrdpflvs,31,250
49,Armor,Common,life,uluhclklyi,69,400
50,Potion,Legendary,air,klxfvhjtat,78,
51,Tool,Common,bacteria,cewubquvvl,80,500
52,Construct,Rare,fire,nkhsddzjbz,44,
53,Tool,Rare,wave,likmjmjfdl,81,100
54,Construct,Legendary,earth,ehhfpyexzo,83,50
55,Food,Common,bacteria,hpslqhixyu,8,250
56,Construct,Rare,air,aihiacsppr,46,450
57,Meal,Legendary,energy,wfbthwplxh,14,450
58,Meal,Rare,bacteria,rplrafbinv,67,250
59,Tool,Rare,fire,dppgmgrkkw,48,150
60,Material,Rare,water,rctgyzqbsg,73,250
61,Food,Common,earth,eevbjbhfbr,54,200
62,Food,Common,water,gnmundsnpz,42,
63,Material,Epic,earth,lrapjeittg,56,
64,Potion,Epic,air,enzxlsxqhs,24,350
65,Potion,Epic,bacteria,jodhgezwwl,24,100
66,Meal,Common,bacteria,tlxrbaxpdi,37,
67,Meal,Rare,life,itphesszuw,17,
68,Food,Epic,plant,odccburbfg,31,
69,Armor,Rare,space,yjkvkiqwlh,62,
70,Food,Rare,air,qyisojijgn,9,50
71,Construct,Rare,fire,tbyzdflhst,61,
72,Potion,Legendary,gravity,ozbjbcbaxy,88,150
73,Food,Rare,gravity,irqqogkxxm,10,450
74,Material/Food,Legendary,fire,brarmoypaa,49,150
75,Material/Food,Common,time,ezqczxfgal,7,300
76,Construct,Legendary,bacteria,lryfzytfpo,44,
77,Material/Food,Common,time,eexqqjntkc,57,
78,Armor,Legendary,plant,kppaahcsqb,60,200
79,Meal,Common,air,wogacbfcic,47,450
80,Food,Rare,time,rlvxjtpqur,70,250
81,Tool,Rare,fire,ehtccefuhd,30,
82,Material,Rare,air,tajlwnpeku,87,500
83,Meal,Rare,life,cdnwvrekrg,65,
84,Material/Food,Legendary,earth,qspfegngns,7,300
85,Construct,Epic,plant,gbkdpqatlk,33,
86,Armor,Common,water,olpobeppid,16,
87,Material,Common,time,tbcwjzxdlc,71,
88,Food,Common,fire,ypzjnedprv,74,
89,Meal,Rare,bacteria,flyxqwbxef,75,500
90,Meal,Legendary,life,jkmqlrnkxj,79,400
91,Armor,Epic,life,wtiposcgea,51,250
92,Construct,Legendary,time,acyujaepkl,21,
93,Food,Epic,earth,sbklkgwlpq,63,50
94,Construct,Epic,plant,nnjiuhuroe,101,450
95,Construct,Legendary,plant,nbpfxiseuc,100,450
96,Material,Epic,energy,isazflgcpv,4,50
97,Potion,Common,time,ikpeqwapgm,86,200
98,Material/Food,Common,life,ttdevgbstz,42,
99,Potion,Common,gravity,btmzinmlqv,100,
100,Potion,Common,gravity,qfynnftmea,71,
101,Food,Epic,earth,bculyfueoq,49,100
102,Food,Legendary,bacteria,bbqitczjew,72,
103,Potion,Common,plant,dyittxmdih,99,
104,Armor,Legendary,bacteria,gbczjhokqj,76,
105,Meal,Legendary,earth,ydnwiqgswa,29,
106,Potion,Epic,bacteria,gjxquktaqa,57,350
107,Food,Legendary,water,lgacaagajt,77,450
108,Material,Epic,space,pawgeqmdci,49,
109,Armor,Common,bacteria,xjbuttnyta,83,
110,Meal,Epic,space,cxvhcpbpau,43,
111,Food,Rare,earth,fkgpftmorl,95,
112,Meal,Common,gravity,vhoknsreok,63,300
113,Food,Rare,earth,mrqlzmoigy,70,
114,Armor,Rare,wave,hrpdebyrxd,34,250
115,Tool,Rare,wave,lzeptmvwfa,99,
116,Tool,Common,wave,ewlprpaedg,23,150
117,Tool,Epic,gravity,xxsqsagcbe,30,50
118,Armor,Epic,fire,srckdyyftq,68,
119,Material/Food,Legendary,fire,mcnyeguffd,96,
120,Material/Food,Rare,time,gtvvgfgkdm,71,400
121,Material/Food,Rare,earth,jdyjrpqgfb,80,100
122,Construct,Rare,energy,iltrvlwycd,17,400
123,Material/Food,Epic,gravity,kghdszpsba,15,300
124,Material,Rare,gravity,ixuxztppkq,29,150
125,Construct,Common,gravity,cqtryzekse,56,250
126,Meal,Common,time,qsrzxqrhgw,46,
127,Armor,Legendary,plant,eesswuufho,60,150
128,Armor,Legendary,fire,vlslgaovck,25,
129,Construct,Legendary,time,rpfvptcwxh,45,500
130,Construct,Rare,bacteria,kayhbfnnct,10,150
131,Armor,Common,time,ebivuslamz,7,
132,Armor,Rare,time,sxraxlkwak,50,500
133,Tool,Epic,energy,uijswazrms,63,
134,Construct,Legendary,plant,ftczvbnvfb,100,350
135,Tool,Common,fire,vtjbieygke,14,500
136,Food,Common,water,tjvollpfhr,17,250
137,Potion,Rare,time,vyafxgeqbm,83,
138,Potion,Legendary,space,ljbqkrzqho,18,400
139,Material/Food,Common,time,owbmzvcwkt,91,350
140,Potion,Legendary,life,jrrhbhjxsh,98,
141,Meal,Epic,gravity,ucijojxjyw,100,
142,Potion,Epic,fire,spdgohtelu,80,100
143,Armor,Epic,life,cfapnvhnmh,30,450
144,Material/Food,Epic,air,lddeiniiuo,41,350
145,Potion,Legendary,plant,bypmzxlvvy,22,
146,Material,Common,fire,suebuhhlcr,68,300
147,Tool,Epic,bacteria,kzwdwmnemc,86,50
148,Potion,Epic,space,atkppmayxm,101,100
149,Material/Food,Epic,life,aiulibirwg,87,150
150,Potion,Legendary,wave,yngczrxiwt,5,
151,Material,Epic,gravity,evzypimixz,62,
152,Food,Epic,water,zaiofpbkxa,70,50
153,Armor,Common,gravity,epgrotmykz,60,
154,Armor,Legendary,wave,wghjcsgkfb,9,
155,Potion,Legendary,wave,pamlmolrhi,19,100
156,Potion,Common,gravity,igqqtsksgn,38,
157,Construct,Epic,energy,ctokgkhobb,55,400
158,Potion,Legendary,earth,dlbhesmrrm,98,
159,Potion,Rare,space,drgscujusa,59,
160,Construct,Rare,life,fxdwsxxaua,7,400
161,Material,Epic,space,mhkgmnwffm,70,150
162,Material/Food,Legendary,fire,dpmtclydjb,6,300
163,Tool,Common,time,rjpwvkqalo,32,
164,Meal,Rare,bacteria,srdqdoxokj,3,150
165,Tool,Common,gravity,jwrsvuewyb,50,450
166,Potion,Common,space,wdcaprrciz,4,200
167,Meal,Rare,life,mohwedzrfw,41,
168,Armor,Legendary,earth,ixnpzyvqyf,33,150
